Wavenumber,Intensity
4000.0,0.0
3994.7368421052633,93.125
3989.4736842105262,93.125
3984.2105263157896,92.8125
3978.9473684210525,92.8125
3973.684210526316,92.8125
3968.4210526315787,92.5
3963.157894736842,92.5
3957.8947368421054,92.5
3952.6315789473683,92.5
3947.3684210526317,92.5
3942.1052631578946,92.5
3936.842105263158,92.5
3931.578947368421,92.5
3926.315789473684,92.1875
3921.0526315789475,92.1875
3915.7894736842104,92.5
3910.5263157894738,92.1875
3905.2631578947367,92.1875
3900.0,92.1875
3894.7368421052633,92.5
3889.4736842105262,92.1875
3884.2105263157896,92.1875
3878.9473684210525,91.875
3873.684210526316,91.875
3868.4210526315787,92.1875
3863.157894736842,92.1875
3857.8947368421054,91.875
3852.6315789473683,91.875
3847.3684210526317,91.875
3842.1052631578946,91.875
3836.842105263158,92.1875
3831.578947368421,92.1875
3826.315789473684,92.1875
3821.0526315789475,92.5
3815.7894736842104,92.5
3810.5263157894738,92.5
3805.2631578947367,92.1875
3800.0,92.1875
3794.7368421052633,92.1875
3789.4736842105262,92.1875
3784.2105263157896,92.1875
3778.9473684210525,92.1875
3773.684210526316,92.1875
3768.4210526315787,92.1875
3763.157894736842,92.1875
3757.8947368421054,92.1875
3752.6315789473683,92.1875
3747.3684210526317,92.1875
3742.1052631578946,92.1875
3736.842105263158,92.1875
3731.578947368421,92.1875
3726.315789473684,92.1875
3721.0526315789475,92.1875
3715.7894736842104,91.875
3710.5263157894738,91.875
3705.2631578947367,91.875
3700.0,91.875
3694.7368421052633,91.875
3689.4736842105262,91.875
3684.2105263157896,91.5625
3678.9473684210525,91.5625
3673.684210526316,91.5625
3668.4210526315787,91.5625
3663.157894736842,91.25
3657.8947368421054,91.25
3652.6315789473683,90.9375
3647.3684210526317,90.625
3642.1052631578946,90.625
3636.842105263158,90.3125
3631.578947368421,90.3125
3626.315789473684,90.0
3621.0526315789475,90.0
3615.7894736842104,90.0
3610.5263157894738,89.6875
3605.2631578947367,89.6875
3600.0,89.6875
3594.7368421052633,89.6875
3589.4736842105262,90.0
3584.2105263157896,90.0
3578.9473684210525,90.0
3573.684210526316,90.0
3568.4210526315787,89.6875
3563.157894736842,89.6875
3557.894736842105,89.375
3552.6315789473683,89.375
