Wavenumber,Intensity
4000.0,0.0
3994.7368421052633,80.9375
3989.4736842105262,80.9375
3984.2105263157896,80.9375
3978.9473684210525,80.9375
3973.684210526316,80.9375
3968.4210526315787,80.9375
3963.157894736842,81.25
3957.8947368421054,81.25
3952.6315789473683,81.5625
3947.3684210526317,81.5625
3942.1052631578946,81.5625
3936.842105263158,81.5625
3931.578947368421,81.5625
3926.315789473684,81.5625
3921.0526315789475,81.875
3915.7894736842104,81.875
3910.5263157894738,81.875
3905.2631578947367,81.875
3900.0,82.1875
3894.7368421052633,82.1875
3889.4736842105262,82.1875
3884.2105263157896,82.1875
3878.9473684210525,82.1875
3873.684210526316,82.1875
3868.4210526315787,82.1875
3863.157894736842,82.1875
3857.8947368421054,82.1875
3852.6315789473683,82.1875
3847.3684210526317,82.1875
3842.1052631578946,82.1875
3836.842105263158,82.1875
3831.578947368421,82.5
3826.315789473684,82.5
3821.0526315789475,82.5
3815.7894736842104,82.5
3810.5263157894738,82.5
3805.2631578947367,82.5
3800.0,82.5
3794.7368421052633,82.5
3789.4736842105262,82.5
3784.2105263157896,82.5
3778.9473684210525,82.8125
3773.684210526316,82.8125
3768.4210526315787,82.8125
3763.157894736842,82.8125
3757.8947368421054,82.8125
3752.6315789473683,82.8125
3747.3684210526317,82.8125
3742.1052631578946,83.125
3736.842105263158,83.125
3731.578947368421,83.125
3726.315789473684,83.4375
3721.0526315789475,83.4375
3715.7894736842104,83.4375
3710.5263157894738,83.75
3705.2631578947367,83.75
3700.0,83.75
3694.7368421052633,83.75
3689.4736842105262,83.75
3684.2105263157896,83.75
3678.9473684210525,83.75
3673.684210526316,83.75
3668.4210526315787,83.75
3663.157894736842,83.75
3657.8947368421054,83.75
3652.6315789473683,83.75
3647.3684210526317,83.75
3642.1052631578946,83.125
3636.842105263158,82.8125
3631.578947368421,82.8125
3626.315789473684,82.8125
3621.0526315789475,83.125
3615.7894736842104,83.125
3610.5263157894738,83.4375
3605.2631578947367,83.4375
3600.0,83.4375
3594.7368421052633,83.125
3589.4736842105262,83.125
3584.2105263157896,82.8125
3578.9473684210525,82.8125
3573.684210526316,82.5
3568.4210526315787,82.5
3563.157894736842,82.5
3557.894736842105,82.1875
3552.6315789473683,82.1875
3547.3684210526317,81.875
3542.1052631578946,81.875
3536.842105263158,81.875
3531.578947368421,81.875
3526.315789473684,81.5625
3521.0526315789475,81.5625
3515.7894736842104,81.5625
3510.5263157894738,81.25
3505.2631578947367,81.25
3500.0,81.25
3494.7368421052633,81.25
3489.4736842105262,81.25
3484.2105263157896,80.9375
3478.9473684210525,80.9375
3473.684210526316,80.625
3468.421052631579,80.625
3463.157894736842,80.625
3457.894736842105,80.3125
3452.6315789473683,80.0
3447.3684210526317,79.6875
3442.1052631578946,79.375
3436.842105263158,79.0625
3431.578947368421,78.75
3426.315789473684,78.4375
3421.0526315789475,77.8125
3415.7894736842104,77.5
3410.5263157894738,76.875
3405.2631578947367,76.5625
3400.0,75.9375
3394.7368421052633,75.3125
3389.4736842105262,75.0
3384.2105263157896,74.375
3378.9473684210525,73.75
3373.684210526316,73.125
3368.421052631579,72.1875
3363.157894736842,71.25
3357.894736842105,70.0
3352.6315789473683,69.375
3347.3684210526317,67.1875
3342.1052631578946,67.1875
3336.842105263158,64.0625
3331.578947368421,61.5625
3326.315789473684,54.6875
3321.0526315789475,54.375
