Wavenumber,Intensity
4000.0,0.0
3994.7368421052633,90.3125
3989.4736842105262,90.625
3984.2105263157896,90.625
3978.9473684210525,90.625
3973.684210526316,90.625
3968.4210526315787,90.625
3963.157894736842,90.625
3957.8947368421054,90.9375
3952.6315789473683,90.9375
3947.3684210526317,90.9375
3942.1052631578946,90.9375
3936.842105263158,90.9375
3931.578947368421,90.9375
3926.315789473684,90.9375
3921.0526315789475,91.25
3915.7894736842104,91.25
3910.5263157894738,91.25
3905.2631578947367,91.25
3900.0,91.25
3894.7368421052633,91.25
3889.4736842105262,91.25
3884.2105263157896,91.5625
3878.9473684210525,91.25
3873.684210526316,91.5625
3868.4210526315787,91.5625
3863.157894736842,91.5625
3857.8947368421054,91.5625
3852.6315789473683,91.875
3847.3684210526317,91.875
3842.1052631578946,91.875
3836.842105263158,91.875
3831.578947368421,91.875
3826.315789473684,92.1875
3821.0526315789475,92.1875
3815.7894736842104,92.1875
3810.5263157894738,92.1875
3805.2631578947367,92.1875
3800.0,92.1875
3794.7368421052633,92.1875
3789.4736842105262,92.1875
3784.2105263157896,92.1875
3778.9473684210525,92.1875
3773.684210526316,92.1875
3768.4210526315787,92.1875
3763.157894736842,92.1875
3757.8947368421054,92.1875
3752.6315789473683,92.1875
3747.3684210526317,92.1875
3742.1052631578946,91.875
3736.842105263158,91.875
3731.578947368421,91.875
3726.315789473684,91.875
3721.0526315789475,92.1875
3715.7894736842104,92.1875
3710.5263157894738,92.5
3705.2631578947367,92.5
3700.0,92.8125
3694.7368421052633,92.8125
3689.4736842105262,92.5
3684.2105263157896,92.5
3678.9473684210525,92.5
3673.684210526316,92.5
3668.4210526315787,92.5
3663.157894736842,92.1875
3657.8947368421054,92.1875
3652.6315789473683,92.5
3647.3684210526317,92.1875
3642.1052631578946,92.1875
3636.842105263158,92.1875
3631.578947368421,92.1875
3626.315789473684,92.1875
3621.0526315789475,92.1875
3615.7894736842104,92.1875
3610.5263157894738,91.875
3605.2631578947367,91.875
3600.0,91.875
3594.7368421052633,91.5625
3589.4736842105262,91.5625
3584.2105263157896,91.5625
3578.9473684210525,91.25
3573.684210526316,91.25
3568.4210526315787,90.9375
3563.157894736842,90.9375
3557.894736842105,90.9375
3552.6315789473683,90.9375
3547.3684210526317,90.9375
3542.1052631578946,90.625
3536.842105263158,90.625
3531.578947368421,90.625
3526.315789473684,90.3125
3521.0526315789475,90.0
3515.7894736842104,89.6875
3510.5263157894738,89.375
3505.2631578947367,89.0625
3500.0,88.75
3494.7368421052633,88.4375
3489.4736842105262,88.125
3484.2105263157896,87.5
3478.9473684210525,87.1875
3473.684210526316,86.5625
3468.421052631579,85.9375
3463.157894736842,85.3125
3457.894736842105,85.0
3452.6315789473683,84.375
3447.3684210526317,83.75
3442.1052631578946,83.125
3436.842105263158,82.8125
3431.578947368421,82.5
3426.315789473684,81.875
3421.0526315789475,81.25
3415.7894736842104,80.9375
3410.5263157894738,80.3125
3405.2631578947367,80.0
3400.0,79.375
3394.7368421052633,78.75
3389.4736842105262,78.125
3384.2105263157896,77.5
3378.9473684210525,77.1875
3373.684210526316,76.875
3368.421052631579,76.25
3363.157894736842,75.9375
3357.894736842105,72.8125
3352.6315789473683,70.0
3347.3684210526317,72.5
3342.1052631578946,72.1875
3336.842105263158,72.8125
3331.578947368421,72.8125
3326.315789473684,72.5
3321.0526315789475,71.875
3315.7894736842104,70.3125
3310.5263157894738,67.5
3305.2631578947367,59.375
3300.0,49.375
3294.7368421052633,49.375
3289.4736842105262,42.1875
3284.210526315789,26.25
3278.9473684210525,18.125
3273.684210526316,16.875
3268.4210526315787,16.25
3263.157894736842,10.3125
3257.894736842105,6.25
3252.6315789473683,4.6875
3247.3684210526317,5.0
3242.1052631578946,8.125
3236.842105263158,14.6875
3231.578947368421,20.625
3226.315789473684,26.5625
3221.0526315789475,29.375
3215.7894736842104,26.25
3210.5263157894738,20.0
