Wavenumber,Intensity
4000.0,0.0
3994.7368421052633,93.75
3989.4736842105262,94.0625
3984.2105263157896,94.0625
3978.9473684210525,94.0625
3973.684210526316,94.0625
3968.4210526315787,94.0625
3963.157894736842,94.375
3957.8947368421054,94.375
3952.6315789473683,94.375
3947.3684210526317,94.375
3942.1052631578946,94.375
3936.842105263158,94.375
3931.578947368421,94.375
3926.315789473684,94.0625
3921.0526315789475,94.0625
3915.7894736842104,94.0625
3910.5263157894738,94.0625
3905.2631578947367,94.0625
3900.0,94.375
3894.7368421052633,94.375
3889.4736842105262,94.375
3884.2105263157896,94.375
3878.9473684210525,94.375
3873.684210526316,94.375
3868.4210526315787,94.6875
3863.157894736842,94.6875
3857.8947368421054,94.6875
3852.6315789473683,94.6875
3847.3684210526317,94.375
3842.1052631578946,94.6875
3836.842105263158,94.6875
3831.578947368421,94.6875
3826.315789473684,94.6875
3821.0526315789475,94.6875
3815.7894736842104,94.375
3810.5263157894738,94.375
3805.2631578947367,94.375
3800.0,94.375
3794.7368421052633,93.75
3789.4736842105262,93.4375
3784.2105263157896,93.125
3778.9473684210525,92.8125
3773.684210526316,92.8125
3768.4210526315787,92.8125
3763.157894736842,92.5
3757.8947368421054,91.875
3752.6315789473683,90.3125
3747.3684210526317,88.75
3742.1052631578946,87.5
3736.842105263158,87.1875
3731.578947368421,86.875
3726.315789473684,86.5625
3721.0526315789475,85.3125
3715.7894736842104,83.75
3710.5263157894738,82.1875
3705.2631578947367,79.6875
3700.0,77.1875
3694.7368421052633,73.75
3689.4736842105262,70.9375
3684.2105263157896,67.1875
3678.9473684210525,63.125
3673.684210526316,59.0625
3668.4210526315787,55.3125
3663.157894736842,50.9375
3657.8947368421054,46.56249999999999
3652.6315789473683,42.50000000000001
3647.3684210526317,39.0625
3642.1052631578946,35.3125
3636.842105263158,31.875
3631.578947368421,28.75
3626.315789473684,26.25
3621.0526315789475,23.75
3615.7894736842104,21.25
3610.5263157894738,19.375
3605.2631578947367,18.125
3600.0,16.5625
3594.7368421052633,15.3125
3589.4736842105262,14.0625
3584.2105263157896,13.125
3578.9473684210525,12.5
3573.684210526316,11.5625
