Wavenumber,Intensity
4000.0,0.0
3994.7368421052633,90.3125
3989.4736842105262,90.625
3984.2105263157896,90.9375
3978.9473684210525,91.25
3973.684210526316,91.25
3968.4210526315787,91.5625
3963.157894736842,91.875
3957.8947368421054,91.875
3952.6315789473683,91.875
3947.3684210526317,91.875
3942.1052631578946,92.1875
3936.842105263158,92.1875
3931.578947368421,92.1875
3926.315789473684,92.1875
3921.0526315789475,92.1875
3915.7894736842104,92.5
3910.5263157894738,92.5
3905.2631578947367,92.5
3900.0,92.5
3894.7368421052633,92.5
3889.4736842105262,92.8125
3884.2105263157896,92.8125
3878.9473684210525,92.8125
3873.684210526316,92.8125
3868.4210526315787,92.8125
3863.157894736842,93.125
3857.8947368421054,93.4375
3852.6315789473683,93.75
3847.3684210526317,93.75
3842.1052631578946,93.75
3836.842105263158,94.0625
3831.578947368421,94.0625
3826.315789473684,94.0625
3821.0526315789475,94.0625
3815.7894736842104,94.0625
3810.5263157894738,94.0625
3805.2631578947367,94.0625
3800.0,94.0625
3794.7368421052633,94.375
3789.4736842105262,94.375
3784.2105263157896,94.6875
3778.9473684210525,94.6875
3773.684210526316,94.6875
3768.4210526315787,94.6875
3763.157894736842,94.6875
3757.8947368421054,94.6875
3752.6315789473683,94.375
3747.3684210526317,94.375
3742.1052631578946,93.75
3736.842105263158,93.4375
3731.578947368421,93.125
3726.315789473684,93.125
3721.0526315789475,92.5
3715.7894736842104,91.875
3710.5263157894738,90.625
3705.2631578947367,88.4375
3700.0,85.625
3694.7368421052633,80.3125
3689.4736842105262,75.0
3684.2105263157896,66.875
3678.9473684210525,61.5625
3673.684210526316,61.25
3668.4210526315787,63.125
3663.157894736842,67.8125
3657.8947368421054,73.75
3652.6315789473683,78.4375
3647.3684210526317,81.25
3642.1052631578946,82.5
3636.842105263158,83.4375
3631.578947368421,83.4375
3626.315789473684,83.125
3621.0526315789475,81.875
3615.7894736842104,80.9375
3610.5263157894738,80.0
3605.2631578947367,79.0625
3600.0,77.1875
3594.7368421052633,74.6875
3589.4736842105262,71.25
3584.2105263157896,68.4375
3578.9473684210525,65.0
3573.684210526316,64.0625
3568.4210526315787,64.375
3563.157894736842,66.875
3557.894736842105,70.0
3552.6315789473683,73.125
3547.3684210526317,74.6875
3542.1052631578946,75.9375
3536.842105263158,76.875
3531.578947368421,77.1875
3526.315789473684,76.875
3521.0526315789475,76.25
3515.7894736842104,75.625
3510.5263157894738,74.6875
3505.2631578947367,73.75
3500.0,72.8125
3494.7368421052633,71.5625
3489.4736842105262,70.3125
3484.2105263157896,69.375
3478.9473684210525,68.4375
3473.684210526316,67.1875
3468.421052631579,65.9375
3463.157894736842,64.6875
3457.894736842105,64.0625
3452.6315789473683,62.8125
3447.3684210526317,61.5625
3442.1052631578946,60.625
3436.842105263158,59.6875
3431.578947368421,58.4375
3426.315789473684,57.5
3421.0526315789475,56.5625
3415.7894736842104,55.625
3410.5263157894738,54.6875
3405.2631578947367,53.75
3400.0,52.5
3394.7368421052633,51.5625
3389.4736842105262,50.3125
3384.2105263157896,49.375
3378.9473684210525,48.4375
3373.684210526316,47.8125
3368.421052631579,46.875
3363.157894736842,46.25
3357.894736842105,45.62500000000001
3352.6315789473683,44.99999999999999
3347.3684210526317,44.6875
3342.1052631578946,44.06250000000001
3336.842105263158,43.125
3331.578947368421,42.50000000000001
3326.315789473684,42.1875
3321.0526315789475,41.5625
3315.7894736842104,40.93750000000001
3310.5263157894738,40.0
3305.2631578947367,38.4375
3300.0,36.25000000000001
3294.7368421052633,32.8125
3289.4736842105262,27.1875
3284.210526315789,17.8125
3278.9473684210525,12.8125
3273.684210526316,11.875
3268.4210526315787,12.5
3263.157894736842,9.375
3257.894736842105,5.3125
3252.6315789473683,4.6875
3247.3684210526317,5.0
3242.1052631578946,8.75
3236.842105263158,11.875
3231.578947368421,15.3125
3226.315789473684,18.125
3221.0526315789475,19.0625
