Wavenumber,Intensity
4000.0,0.0
3994.7368421052633,87.1875
3989.4736842105262,87.1875
3984.2105263157896,87.1875
3978.9473684210525,87.1875
3973.684210526316,87.5
3968.4210526315787,87.8125
3963.157894736842,88.125
3957.8947368421054,88.4375
3952.6315789473683,88.75
3947.3684210526317,88.75
3942.1052631578946,88.75
3936.842105263158,89.0625
3931.578947368421,89.0625
3926.315789473684,89.0625
3921.0526315789475,89.375
3915.7894736842104,89.375
3910.5263157894738,89.6875
3905.2631578947367,89.6875
3900.0,90.0
3894.7368421052633,90.0
3889.4736842105262,90.0
3884.2105263157896,90.3125
3878.9473684210525,90.3125
3873.684210526316,90.625
3868.4210526315787,90.625
3863.157894736842,90.9375
3857.8947368421054,91.25
3852.6315789473683,91.25
3847.3684210526317,91.5625
3842.1052631578946,91.5625
3836.842105263158,91.875
3831.578947368421,91.875
3826.315789473684,92.1875
3821.0526315789475,92.1875
3815.7894736842104,92.1875
3810.5263157894738,92.5
3805.2631578947367,92.5
3800.0,92.8125
3794.7368421052633,92.8125
3789.4736842105262,92.8125
3784.2105263157896,92.8125
3778.9473684210525,92.8125
3773.684210526316,92.8125
3768.4210526315787,92.8125
3763.157894736842,92.5
3757.8947368421054,92.8125
3752.6315789473683,92.8125
3747.3684210526317,92.5
3742.1052631578946,92.5
3736.842105263158,92.5
3731.578947368421,92.5
3726.315789473684,92.5
3721.0526315789475,92.5
3715.7894736842104,92.8125
3710.5263157894738,92.8125
3705.2631578947367,92.8125
3700.0,92.8125
3694.7368421052633,92.5
3689.4736842105262,92.1875
3684.2105263157896,91.875
3678.9473684210525,91.5625
3673.684210526316,91.5625
3668.4210526315787,91.25
3663.157894736842,90.9375
3657.8947368421054,90.625
3652.6315789473683,90.0
3647.3684210526317,89.6875
3642.1052631578946,89.0625
3636.842105263158,88.125
3631.578947368421,87.5
3626.315789473684,86.5625
3621.0526315789475,85.625
3615.7894736842104,84.6875
3610.5263157894738,83.4375
3605.2631578947367,82.5
3600.0,81.25
3594.7368421052633,79.6875
3589.4736842105262,78.4375
3584.2105263157896,76.875
3578.9473684210525,75.0
3573.684210526316,73.4375
3568.4210526315787,71.25
3563.157894736842,69.375
3557.894736842105,67.1875
3552.6315789473683,65.3125
3547.3684210526317,63.75
3542.1052631578946,62.8125
3536.842105263158,61.25
3531.578947368421,59.6875
3526.315789473684,58.125
3521.0526315789475,56.5625
3515.7894736842104,54.6875
3510.5263157894738,52.5
3505.2631578947367,50.625
3500.0,49.0625
3494.7368421052633,47.18750000000001
3489.4736842105262,45.62500000000001
3484.2105263157896,43.75
3478.9473684210525,42.50000000000001
3473.684210526316,40.93750000000001
3468.421052631579,39.6875
3463.157894736842,38.125
3457.894736842105,37.18749999999999
3452.6315789473683,35.9375
3447.3684210526317,34.6875
3442.1052631578946,33.75
3436.842105263158,32.8125
3431.578947368421,31.875
3426.315789473684,30.9375
3421.0526315789475,30.0
3415.7894736842104,29.375
3410.5263157894738,28.4375
3405.2631578947367,27.5
3400.0,26.5625
3394.7368421052633,25.625
3389.4736842105262,25.0
3384.2105263157896,24.0625
3378.9473684210525,23.4375
3373.684210526316,23.125
3368.421052631579,23.125
3363.157894736842,22.8125
3357.894736842105,22.8125
3352.6315789473683,22.1875
3347.3684210526317,21.875
3342.1052631578946,21.25
3336.842105263158,20.9375
3331.578947368421,20.9375
3326.315789473684,20.9375
3321.0526315789475,20.9375
3315.7894736842104,21.25
3310.5263157894738,20.9375
3305.2631578947367,20.3125
3300.0,19.0625
3294.7368421052633,17.1875
3289.4736842105262,14.6875
3284.210526315789,10.9375
3278.9473684210525,9.0625
3273.684210526316,9.0625
3268.4210526315787,9.0625
3263.157894736842,7.5
3257.894736842105,6.5625
3252.6315789473683,6.5625
3247.3684210526317,7.5
3242.1052631578946,9.375
3236.842105263158,11.5625
3231.578947368421,13.75
3226.315789473684,15.0
3221.0526315789475,13.4375
3215.7894736842104,12.8125
3210.5263157894738,10.625
3205.2631578947367,10.0
3200.0,11.25
3194.7368421052633,18.4375
3189.4736842105262,24.375
3184.210526315789,26.875
3178.9473684210525,29.0625
3173.684210526316,30.625
