Wavenumber,Intensity
4000.0,0.0
3994.7368421052633,92.1875
3989.4736842105262,91.875
3984.2105263157896,91.875
3978.9473684210525,91.5625
3973.684210526316,91.25
3968.4210526315787,90.9375
3963.157894736842,90.9375
3957.8947368421054,90.9375
3952.6315789473683,91.25
3947.3684210526317,91.875
3942.1052631578946,92.1875
3936.842105263158,92.5
3931.578947368421,92.8125
3926.315789473684,93.125
3921.0526315789475,93.125
3915.7894736842104,92.8125
3910.5263157894738,92.8125
3905.2631578947367,92.8125
3900.0,92.8125
3894.7368421052633,93.125
3889.4736842105262,93.125
3884.2105263157896,93.4375
3878.9473684210525,93.125
3873.684210526316,92.8125
3868.4210526315787,92.8125
3863.157894736842,92.8125
3857.8947368421054,92.5
3852.6315789473683,92.5
3847.3684210526317,92.1875
3842.1052631578946,92.1875
3836.842105263158,92.1875
3831.578947368421,92.1875
3826.315789473684,92.1875
3821.0526315789475,92.5
3815.7894736842104,92.8125
3810.5263157894738,92.8125
3805.2631578947367,92.8125
3800.0,92.5
3794.7368421052633,92.1875
3789.4736842105262,91.5625
3784.2105263157896,90.9375
3778.9473684210525,90.3125
3773.684210526316,89.375
3768.4210526315787,88.4375
3763.157894736842,87.1875
3757.8947368421054,86.25
3752.6315789473683,85.0
3747.3684210526317,84.0625
3742.1052631578946,82.8125
3736.842105263158,81.875
3731.578947368421,81.875
3726.315789473684,81.875
3721.0526315789475,81.875
3715.7894736842104,81.875
3710.5263157894738,82.1875
3705.2631578947367,82.5
3700.0,82.8125
3694.7368421052633,82.8125
3689.4736842105262,82.5
3684.2105263157896,82.1875
3678.9473684210525,81.875
3673.684210526316,81.5625
3668.4210526315787,81.25
3663.157894736842,81.25
3657.8947368421054,81.25
3652.6315789473683,81.5625
3647.3684210526317,82.1875
3642.1052631578946,82.8125
3636.842105263158,83.75
3631.578947368421,84.375
3626.315789473684,85.0
3621.0526315789475,85.0
3615.7894736842104,85.3125
3610.5263157894738,85.0
3605.2631578947367,84.0625
3600.0,81.875
3594.7368421052633,78.4375
3589.4736842105262,75.625
3584.2105263157896,75.625
3578.9473684210525,76.875
3573.684210526316,80.9375
3568.4210526315787,84.6875
3563.157894736842,87.1875
3557.894736842105,88.4375
3552.6315789473683,89.375
3547.3684210526317,89.6875
3542.1052631578946,90.0
3536.842105263158,90.3125
3531.578947368421,90.625
3526.315789473684,90.9375
3521.0526315789475,91.25
3515.7894736842104,91.5625
3510.5263157894738,91.5625
3505.2631578947367,91.5625
3500.0,91.5625
3494.7368421052633,91.5625
3489.4736842105262,91.5625
3484.2105263157896,91.5625
3478.9473684210525,91.5625
3473.684210526316,91.5625
3468.421052631579,91.5625
3463.157894736842,91.5625
3457.894736842105,91.5625
3452.6315789473683,91.875
3447.3684210526317,91.875
3442.1052631578946,92.1875
3436.842105263158,92.1875
3431.578947368421,92.1875
3426.315789473684,92.1875
3421.0526315789475,92.1875
3415.7894736842104,91.875
3410.5263157894738,91.875
3405.2631578947367,91.5625
3400.0,91.25
3394.7368421052633,91.25
3389.4736842105262,91.25
3384.2105263157896,91.25
3378.9473684210525,90.9375
3373.684210526316,90.9375
3368.421052631579,90.625
3363.157894736842,90.0
3357.894736842105,89.375
3352.6315789473683,88.4375
3347.3684210526317,87.5
3342.1052631578946,86.875
3336.842105263158,86.25
3331.578947368421,85.3125
3326.315789473684,83.125
3321.0526315789475,81.875
3315.7894736842104,79.6875
3310.5263157894738,77.8125
3305.2631578947367,72.8125
3300.0,64.375
3294.7368421052633,50.0
3289.4736842105262,33.125
3284.210526315789,16.875
3278.9473684210525,10.625
